N Proj,Promotor,Designacao,Instrumento,Aviso,Aut Gestao,Org Intermedio,Concelho,Regiao,Sector,CAE (Rev3),Estrategia de Eficiencia Colectiva,Data de Aprovacao,Investimento Elegivel,Incentivo,N Contribuinte do Promotor
30650,"PROAZ - PROJECTOS PARA A INDuSTRIA DE MOLDES, LDA",IMPLEMENTAcaO DE SISTEMA DE GESTaO DA QUALIDADE,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Oliveira de Azemeis,Norte,Servicos,71120 - Actividades de engenharia e tecnicas afins,,19-Mar-13,8800,6600,503351032
30653,"ABREU E CARNEIRO - INSTALAcoES ELECTRICAS, LDA","PLANEAMENTO, ESTUDO E PROSPEcaO DE MERCADO",SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Matosinhos,Norte,Construcao,43210 - Instalacao electrica,,19-Mar-13,20000,15000,505354284
30654,"A PARODI, LDA",DEFINIcaO E IMPLEMENTAcaO DE PLANO DE MARKETING,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Matosinhos,Norte,Industria,15201 - Fabricacao de calcado,,19-Mar-13,20000,15000,500969566
30657,"PUNCTUAL TARGET UNIPESSOAL, LDA","PLANEAMENTO, ESTUDO E PROSPEcaO DE MERCADOS INTERNACIONAIS",SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Maia,Norte,Servicos,"69200 - Actividades de contabilidade, auditoria e consultoria fiscal",,19-Mar-13,20000,15000,509740723
30658,"ANCESTRA INDUSTRIA GRaFICA, LDA",IMPLEMENTAcaO DE UM SISTEMA INTEGRADO,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Gondomar,Norte,Industria,18120 - Outra impressao,,19-Mar-13,20000,15000,504615416
30596,"MAFALDA NUNES ARQUITECTURA - ARQUITECTURA, DESIGN, IMOBILIaRIO, LDA",INTERNACIONALIZAcaO PARA O MERCADO FRANCeS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Porto,Norte,Servicos,71110 - Actividades de arquitectura,,19-Mar-13,20000,15000,505454696
30600,"URBANMINT DESIGN, LDA",EXPANSaO PARA O MERCADO EUROPEU,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Matosinhos,Norte,Servicos,74100 - Actividades de design,,19-Mar-13,20000,15000,509247172
30593,"DIAPOR - DIAMANTES DE PORTUGAL, SA",PREVENcaO E REDUcaO DE RISCOS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Santa Maria da Feira,Norte,Industria,25733 - Fabricacao de pecas sinterizadas,,19-Mar-13,6670,5003,500084769
30608,"SACHI PREMIUM - OUTDOOR FURNITURE, LDA",CONCEPcaO DE PRODUTO,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Porto,Norte,Comercio,"46470 - Comercio por grosso de moveis para uso domestico, carpetes, tapetes e artigos de iluminacao",,19-Mar-13,20000,15000,508755891
30611,"FERMENTUM - ENGENHARIA DAS FERMENTACoES, LDA",FERMENTOAK - CERVEJAS ENVELHECIDAS EM CARVALHO PARA EXPORTAcaO,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Vila Verde,Norte,Industria,11050 - Fabricacao de cerveja,,19-Mar-13,20000,15000,509778860
